Class,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,Option5,CorrectAnswer,SkillTested
Class 11,Sets and Relations,1,MCQ Q1 on Sets and Relations (Difficulty 1): Which of the following best defines a set?,A collection of distinct objects,A list of numbers,An ordered sequence,A group of functions,None of the above,A,Recall
Class 11,Sets and Relations,2,MCQ Q2 on Sets and Relations (Difficulty 2): Which statement best describes a subset?,Every element of one set is contained in another,Two sets that are equal,A set containing elements not in the other,The union of two sets,None of the above,D,Basic Understanding
Class 11,Sets and Relations,3,"MCQ Q3 on Sets and Relations (Difficulty 3): What is the union of sets A = {1,2} and B = {2,3}?","{1,2,3}",{2},"{1,3}",{} (empty set),None of the above,A,Application
Class 11,Sets and Relations,4,"MCQ Q4 on Sets and Relations (Difficulty 4): What is the intersection of sets A = {a,b,c} and B = {b,c,d}?","{a,d}","{a,b,c,d}",{} (empty set),"{b,c}",None of the above,E,Application
Class 11,Sets and Relations,5,MCQ Q5 on Sets and Relations (Difficulty 5): Which of the following correctly describes the complement of a set A in a universal set U?,All elements in U that are not in A,All elements in A that are not in U,The intersection of A and U,The union of A and U,None of the above,A,Analysis
Class 11,Sets and Relations,6,"MCQ Q6 on Sets and Relations (Difficulty 6): If U = {1,2,3,4,5} and A = {2,4}, what is the complement of A in U?","{2,4}","{1,3,5}","{1,2,3,4,5}",{} (empty set),None of the above,C,Analysis
Class 11,Sets and Relations,7,MCQ Q7 on Sets and Relations (Difficulty 7): Which option best synthesizes the concept of a power set?,The set of all possible subsets of a given set,The set containing the union of two sets,The set of all elements not in the original set,The Cartesian product of a set with itself,None of the above,B,Synthesis
Class 11,Sets and Relations,8,MCQ Q8 on Sets and Relations (Difficulty 8): Consider set A = {x | x is an even number less than 10}. Which option best describes its power set?,"The set {2,4,6,8}","The set of all subsets of {2,4,6,8}",The set of even numbers less than 10,The set of odd numbers,None of the above,E,Synthesis
Class 11,Sets and Relations,9,MCQ Q9 on Sets and Relations (Difficulty 9): Two sets A and B are said to be equinumerous if:,There exists a bijection between A and B,They have the same number of elements,They have a common subset,Their union equals their intersection,None of the above,B,Evaluation
Class 11,Sets and Relations,10,MCQ Q10 on Sets and Relations (Difficulty 10): Which statement best evaluates the relationship between a set and its power set in terms of cardinality?,The power set of any set has a strictly greater cardinality than the set itself,The power set of any set is equal in cardinality to the set,The power set of any set has a lower cardinality than the set,Cardinality cannot be determined for a power set,None of the above,D,Evaluation
