Question,Topic,Difficulty Level,Category,Option A,Option B,Option C,Option D,Correct Answer
What is the value of universal gravitational constant (G)?,2,2,1,6.67 × 10^-11 N m²/kg²,9.8 m/s²,3 × 10^8 m/s,1.6 × 10^-19 C,6.67 × 10^-11 N m²/kg²
"If the mass of an object is doubled, what happens to its weight?",2,2,0,Doubles,Halves,Remains the same,Becomes zero,Doubles
"If an object is in free fall, what is its acceleration?",2,0,1,0 m/s²,9.8 m/s²,Depends on mass,Varies with height,9.8 m/s²
What is the force that keeps the Moon in orbit around the Earth?,2,0,2,Electromagnetic force,Gravitational force,Nuclear force,Frictional force,Gravitational force
A ray of light passing through the optical center of a lens will:,4,2,0,Bend towards the normal,Pass undeviated,Reflect back,Disperse into colors,Pass undeviated
What is the refractive index of water?,4,2,1,1.33,1.5,2.42,1,1.33
Which mirror is used in shaving mirrors?,4,0,2,Convex,Concave,Plane,,Concave
Which mirror is used in shaving mirrors?,4,0,2,Convex,Concave,Plane,,Concave
What is the unit of magnetic flux?,1,2,1,Tesla,Weber,Farad,Henry,Weber
The magnetic field lines inside a solenoid are?,1,2,0,Diverging,Converging,Parallel,Circular,Parallel
Which scientist formulated the law of electromagnetic induction?,1,0,2,Newton,Faraday,Maxwell,Tesla,Faraday
Who discovered electromagnetic induction?,1,0,0,Newton,Faraday,Tesla,Einstein,Faraday
What is the purpose of a commutator in an electric motor?,1,1,0,Increase speed,Change direction of current,Reduce voltage,Store charge,Change direction of current
Which rule is used to find the direction of force in a current-carrying conductor?,1,1,2,Right-Hand Thumb Rule,Fleming’s Left-Hand Rule,Fleming’s Right-Hand Rule,Ampere’s Rule,Fleming’s Left-Hand Rule
Which law states that the total current entering a junction equals the total current leaving?,0,2,2,Ohm’s Law,Kirchhoff’s Current Law,Faraday’s Law,Lenz’s Law,Kirchhoff’s Current Law
Which law states that the total current entering a junction equals the total current leaving?,0,2,2,Ohm’s Law,Kirchhoff’s Current Law,Faraday’s Law,Lenz’s Law,Kirchhoff’s Current Law
What is the SI unit of charge?,0,0,1,Coulomb,Volt,Ohm,Watt,Coulomb
What is the unit of resistance?,0,0,1,Volt,Ampere,Ohm,Coulomb,Ohm
Which phenomenon is responsible for the blue color of the sky?,5,2,2,Reflection,Refraction,Scattering,Interference,Scattering
Which scientist proposed the wave theory of light?,5,2,2,Newton,Huygens,Einstein,Maxwell,Huygens
Which color of light has the longest wavelength?,5,0,2,Blue,Red,Green,Violet,Red
Which color of light has the longest wavelength?,5,0,2,Blue,Red,Green,Violet,Red
The bending of light waves around an obstacle is called?,5,1,0,Refraction,Reflection,Diffraction,Interference,Diffraction
The pattern formed due to interference of light is called?,5,1,0,Spectrum,Fringes,Mirage,Diffraction,Fringes
The strength of a solenoid can be increased by?,3,2,2,Increasing number of turns,Decreasing current,Using a wooden core,None of these,Increasing number of turns
What happens to the magnetic field inside a solenoid when current is increased?,3,2,0,Increases,Decreases,Remains the same,Disappears,Increases
What is the shape of Earth’s magnetic field?,3,0,2,Straight lines,Circular,Dipole,Random,Dipole
What is the shape of Earth’s magnetic field?,3,0,2,Straight lines,Circular,Dipole,Random,Dipole
The force on a current-carrying conductor in a magnetic field is given by which rule?,3,1,2,Right-Hand Rule,Fleming’s Left-Hand Rule,Lenz’s Law,Ampere’s Rule,Fleming’s Left-Hand Rule
The force on a current-carrying conductor in a magnetic field is given by which rule?,3,1,2,Right-Hand Rule,Fleming’s Left-Hand Rule,Lenz’s Law,Ampere’s Rule,Fleming’s Left-Hand Rule
Which instrument is used to measure electric current?,0,0,0,Voltmeter,Ammeter,Galvanometer,Ohmmeter,Ammeter
What is the critical angle for total internal reflection in water?,4,2,1,42 degrees,30 degrees,60 degrees,90 degrees,42 degrees
The pattern formed due to interference of light is called?,5,1,0,Spectrum,Fringes,Mirage,Diffraction,Fringes
Which mirror is used in vehicle side mirrors?,4,0,2,Concave,Convex,Plane,,Convex
Which optical phenomenon forms a mirage?,5,1,0,Reflection,Refraction,Total Internal Reflection,Interference,Total Internal Reflection
"If resistance increases in a circuit, what happens to the current?",0,2,0,Increases,Decreases,Remains same,Doubles,Decreases
A moving charge produces?,3,0,2,Electric field,Magnetic field,Both,,Both
The wavelength of visible light is in which range?,5,2,1,400-700 nm,100-200 nm,700-900 nm,10-100 nm,400-700 nm
What type of current does a transformer work on?,1,2,2,DC,AC,Both AC & DC,,AC
What is the frequency range of visible light?,5,2,1,400-700 THz,100-200 THz,10-100 THz,700-900 THz,400-700 THz
What happens to gravitational force if the mass of one object is tripled?,2,2,0,Triples,Halves,Becomes one-third,Remains unchanged,Triples
Which color of light has the shortest wavelength?,5,2,2,Red,Blue,Violet,Green,Violet
The device that converts mechanical energy into electrical energy is called?,1,0,2,Motor,Generator,Transformer,Battery,Generator
Which material is used as a filament in electric bulbs?,0,0,2,Copper,Aluminum,Tungsten,Iron,Tungsten
Which scientist formulated the law of electromagnetic induction?,1,0,2,Newton,Faraday,Maxwell,Tesla,Faraday
Which lens is used to correct myopia?,4,0,2,Convex lens,Concave lens,Cylindrical lens,,Concave lens
Which device is used to detect a current in a circuit?,3,0,2,Voltmeter,Galvanometer,Ammeter,Wattmeter,Galvanometer
Which of the following is the best conductor of electricity?,0,0,2,Copper,Wood,Plastic,Glass,Copper
What is the force that keeps the Moon in orbit around the Earth?,2,0,2,Electromagnetic force,Gravitational force,Nuclear force,Frictional force,Gravitational force
A concave lens always produces what type of image?,4,2,0,Real and inverted,Virtual and erect,Real and erect,,Virtual and erect
