Question,Topic,Difficulty Level,Category,Option A,Option B,Option C,Option D,Correct Answer
What is the value of universal gravitational constant (G)?,2,2,1,6.67 × 10^-11 N m²/kg²,9.8 m/s²,3 × 10^8 m/s,1.6 × 10^-19 C,6.67 × 10^-11 N m²/kg²
What happens to gravitational force if the mass of one object is tripled?,2,2,0,Triples,Halves,Becomes one-third,Remains unchanged,Triples
"If an object is in free fall, what is its acceleration?",2,0,1,0 m/s²,9.8 m/s²,Depends on mass,Varies with height,9.8 m/s²
What is the SI unit of force?,2,0,1,Newton,Joule,Watt,Pascal,Newton
"When a light ray passes from air to glass, what happens to its speed?",4,2,2,Increases,Decreases,Remains the same,Depends on the angle,Decreases
A ray of light passing through the optical center of a lens will:,4,2,0,Bend towards the normal,Pass undeviated,Reflect back,Disperse into colors,Pass undeviated
Which mirror is used in vehicle side mirrors?,4,0,2,Concave,Convex,Plane,,Convex
What type of mirror is used in torch lights?,4,0,2,Plane Mirror,Concave Mirror,Convex Mirror,,Concave Mirror
What is the unit of magnetic flux?,1,2,1,Tesla,Weber,Farad,Henry,Weber
The Right-Hand Thumb Rule helps determine?,1,2,0,Magnetic Field Direction,Current Direction,Force Direction,Voltage,Magnetic Field Direction
Which scientist formulated the law of electromagnetic induction?,1,0,2,Newton,Faraday,Maxwell,Tesla,Faraday
Which scientist formulated the law of electromagnetic induction?,1,0,2,Newton,Faraday,Maxwell,Tesla,Faraday
Which rule is used to find the direction of force in a current-carrying conductor?,1,1,2,Right-Hand Thumb Rule,Fleming’s Left-Hand Rule,Fleming’s Right-Hand Rule,Ampere’s Rule,Fleming’s Left-Hand Rule
What is the purpose of a commutator in an electric motor?,1,1,0,Increase speed,Change direction of current,Reduce voltage,Store charge,Change direction of current
What happens when resistors are connected in series?,0,2,0,Total resistance increases,Total resistance decreases,Current increases,Voltage remains same,Total resistance increases
Ohm’s Law states that voltage is directly proportional to?,0,2,2,Current,Resistance,Power,Charge,Current
Which instrument is used to measure electric current?,0,0,0,Voltmeter,Ammeter,Galvanometer,Ohmmeter,Ammeter
What does a fuse protect an electrical circuit from?,0,0,2,High voltage,Overcurrent,Overcooling,Low resistance,Overcurrent
Which scientist proposed the wave theory of light?,5,2,2,Newton,Huygens,Einstein,Maxwell,Huygens
What is the frequency range of visible light?,5,2,1,400-700 THz,100-200 THz,10-100 THz,700-900 THz,400-700 THz
Which color of light has the longest wavelength?,5,0,2,Blue,Red,Green,Violet,Red
Which color of light has the longest wavelength?,5,0,2,Blue,Red,Green,Violet,Red
Which experiment proved the wave nature of light?,5,1,2,Photoelectric Effect,Young’s Double-Slit Experiment,Compton Effect,Michelson-Morley Experiment,Young’s Double-Slit Experiment
Which optical phenomenon forms a mirage?,5,1,0,Reflection,Refraction,Total Internal Reflection,Interference,Total Internal Reflection
The strength of a solenoid can be increased by?,3,2,2,Increasing number of turns,Decreasing current,Using a wooden core,None of these,Increasing number of turns
"In an electric motor, which component rotates?",3,2,0,Stator,Rotor,Brush,Commutator,Rotor
Which device is used to detect a current in a circuit?,3,0,2,Voltmeter,Galvanometer,Ammeter,Wattmeter,Galvanometer
A moving charge produces?,3,0,2,Electric field,Magnetic field,Both,,Both
The force on a current-carrying conductor in a magnetic field is given by which rule?,3,1,2,Right-Hand Rule,Fleming’s Left-Hand Rule,Lenz’s Law,Ampere’s Rule,Fleming’s Left-Hand Rule
The force on a current-carrying conductor in a magnetic field is given by which rule?,3,1,2,Right-Hand Rule,Fleming’s Left-Hand Rule,Lenz’s Law,Ampere’s Rule,Fleming’s Left-Hand Rule
What is the acceleration due to gravity on the surface of the Earth?,2,0,1,9.8 m/s²,10 m/s²,8.9 m/s²,12 m/s²,9.8 m/s²
The pattern formed due to interference of light is called?,5,1,0,Spectrum,Fringes,Mirage,Diffraction,Fringes
What is the SI unit of inductance?,1,2,1,Tesla,Weber,Henry,Coulomb,Henry
Which phenomenon is responsible for the blue color of the sky?,5,2,2,Reflection,Refraction,Scattering,Interference,Scattering
Which color of light has the shortest wavelength?,5,2,2,Red,Blue,Violet,Green,Violet
What happens to the weight of an object when taken to the Moon?,2,0,0,Increases,Decreases,Remains the same,Becomes zero,Decreases
What is the shape of Earth’s magnetic field?,3,0,2,Straight lines,Circular,Dipole,Random,Dipole
"If an object is in free fall, what is its acceleration?",2,0,1,0 m/s²,9.8 m/s²,Depends on mass,Varies with height,9.8 m/s²
What does a fuse protect an electrical circuit from?,0,0,2,High voltage,Overcurrent,Overcooling,Low resistance,Overcurrent
The pattern formed due to interference of light is called?,5,1,0,Spectrum,Fringes,Mirage,Diffraction,Fringes
What happens to the magnetic field inside a solenoid when current is increased?,3,2,0,Increases,Decreases,Remains the same,Disappears,Increases
What happens to the magnetic field inside a solenoid when current is increased?,3,2,0,Increases,Decreases,Remains the same,Disappears,Increases
Which law states that the total current entering a junction equals the total current leaving?,0,2,2,Ohm’s Law,Kirchhoff’s Current Law,Faraday’s Law,Lenz’s Law,Kirchhoff’s Current Law
The Earth’s magnetic field is due to?,3,2,0,Atmosphere,Core of the Earth,Sunlight,Ocean currents,Core of the Earth
The device that converts mechanical energy into electrical energy is called?,1,0,2,Motor,Generator,Transformer,Battery,Generator
A current-carrying coil behaves like?,3,2,2,Capacitor,Inductor,Bar Magnet,Resistor,Bar Magnet
Which mirror is used in shaving mirrors?,4,0,2,Convex,Concave,Plane,,Concave
What phenomenon explains the formation of rainbow colors in a soap bubble?,5,1,0,Diffraction,Interference,Reflection,Refraction,Interference
What is the purpose of a commutator in an electric motor?,1,1,0,Increase speed,Change direction of current,Reduce voltage,Store charge,Change direction of current
What is the function of a transformer?,1,2,2,Convert DC to AC,Increase or decrease voltage,Measure current,Store charge,Increase or decrease voltage
