Question,Topic,Difficulty Level,Category,Option A,Option B,Option C,Option D,Correct Answer
Q87: What is the square root of 144?,0,1,1,10,11,12,13,C
Q16: What is the area of a circle with radius r?,0,0,1,πr,2πr,πr²,π/2 r²,C
"Q40: If a triangle has sides 3 cm, 4 cm, and 5 cm, what type of triangle is it?",0,2,2,Equilateral,Right-angled,Scalene,Isosceles,B
Q44: What is the solution to the equation 2x + 5 = 15?,3,1,1,x = 5,x = 10,x = 2,x = -5,A
"Q63: If a = 3 and b = 4, what is the value of a² + b²?",3,0,0,12,16,25,49,C
Q77: What is the square root of 144?,3,2,1,10,11,12,13,C
Q90: What is the square root of 144?,1,1,0,10,11,12,13,C
Q62: What is the square root of 144?,1,0,0,10,11,12,13,C
Q89: What is the value of 𝜋 (pi) approximately?,1,2,1,3.14,2.71,1.62,3.00,A
Q4: What is the probability of getting a 6 when rolling a fair die?,5,1,0,1/2,1/3,1/6,1/4,C
Q20: What is the probability of getting a 6 when rolling a fair die?,5,0,0,1/2,1/3,1/6,1/4,C
Q47: What is the sum of the interior angles of a pentagon?,5,2,2,360°,540°,720°,180°,B
Q41: What is the sum of the interior angles of a pentagon?,4,1,1,360°,540°,720°,180°,B
"Q25: If sin 30° = 1/2, what is cos 60°?",4,0,0,1,1/2,√3/2,0,B
"Q100: If a triangle has sides 3 cm, 4 cm, and 5 cm, what type of triangle is it?",4,2,1,Equilateral,Right-angled,Scalene,Isosceles,B
Q33: What is the sum of the interior angles of a pentagon?,7,1,1,360°,540°,720°,180°,B
"Q57: If a triangle has sides 3 cm, 4 cm, and 5 cm, what type of triangle is it?",7,0,0,Equilateral,Right-angled,Scalene,Isosceles,B
Q6: What is the square root of 144?,7,2,2,10,11,12,13,C
"Q84: If sin 30° = 1/2, what is cos 60°?",2,1,0,1,1/2,√3/2,0,B
Q15: What is the probability of getting a 6 when rolling a fair die?,2,0,1,1/2,1/3,1/6,1/4,C
"Q51: If a triangle has sides 3 cm, 4 cm, and 5 cm, what type of triangle is it?",2,2,0,Equilateral,Right-angled,Scalene,Isosceles,B
Q52: What is the square root of 144?,9,1,2,10,11,12,13,C
Q42: What is the derivative of x²?,9,0,1,2x,x,x²,1,A
Q14: What is the derivative of x²?,9,2,1,2x,x,x²,1,A
Q34: What is the probability of getting a 6 when rolling a fair die?,8,1,2,1/2,1/3,1/6,1/4,C
Q53: What is the solution to the equation 2x + 5 = 15?,8,0,0,x = 5,x = 10,x = 2,x = -5,A
Q59: What is the solution to the equation 2x + 5 = 15?,8,2,2,x = 5,x = 10,x = 2,x = -5,A
"Q45: If a = 3 and b = 4, what is the value of a² + b²?",6,1,0,12,16,25,49,C
Q69: What is the value of 𝜋 (pi) approximately?,6,0,0,3.14,2.71,1.62,3.00,A
Q60: What is the sum of the interior angles of a pentagon?,6,2,1,360°,540°,720°,180°,B
Q91: What is the derivative of x²?,1,2,2,2x,x,x²,1,A
"Q58: If a = 3 and b = 4, what is the value of a² + b²?",8,2,2,12,16,25,49,C
"Q64: If a = 3 and b = 4, what is the value of a² + b²?",3,2,2,12,16,25,49,C
Q81: What is the value of 𝜋 (pi) approximately?,9,1,1,3.14,2.71,1.62,3.00,A
Q5: What is the square root of 144?,4,2,0,10,11,12,13,C
Q12: What is the sum of the interior angles of a pentagon?,9,0,0,360°,540°,720°,180°,B
"Q18: If a = 3 and b = 4, what is the value of a² + b²?",4,2,1,12,16,25,49,C
Q55: What is the value of 𝜋 (pi) approximately?,7,0,0,3.14,2.71,1.62,3.00,A
Q79: What is the sum of the interior angles of a pentagon?,9,0,1,360°,540°,720°,180°,B
"Q30: If a triangle has sides 3 cm, 4 cm, and 5 cm, what type of triangle is it?",3,0,0,Equilateral,Right-angled,Scalene,Isosceles,B
Q99: What is the value of 𝜋 (pi) approximately?,2,1,1,3.14,2.71,1.62,3.00,A
Q23: What is the derivative of x²?,9,1,1,2x,x,x²,1,A
Q74: What is the sum of the interior angles of a pentagon?,3,1,0,360°,540°,720°,180°,B
Q67: What is the area of a circle with radius r?,6,1,2,πr,2πr,πr²,π/2 r²,C
Q92: What is the probability of getting a 6 when rolling a fair die?,3,0,0,1/2,1/3,1/6,1/4,C
Q43: What is the sum of the interior angles of a pentagon?,4,1,2,360°,540°,720°,180°,B
Q46: What is the square root of 144?,6,0,1,10,11,12,13,C
Q8: What is the area of a circle with radius r?,2,1,2,πr,2πr,πr²,π/2 r²,C
Q93: What is the area of a circle with radius r?,6,0,0,πr,2πr,πr²,π/2 r²,C
"Q68: If a triangle has sides 3 cm, 4 cm, and 5 cm, what type of triangle is it?",4,0,1,Equilateral,Right-angled,Scalene,Isosceles,B
