Question,Topic,Difficulty Level,Category,Option A,Option B,Option C,Option D,Correct Answer
Q73: What is the chemical formula for sodium chloride?,9,2,2,NaCl,HCl,KCl,NaOH,A
Q49: Which gas is released when an acid reacts with a metal?,9,0,2,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q55: Which gas is released when an acid reacts with a metal?,9,1,0,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q4: What is the pH of a neutral solution?,8,2,2,7,5,9,3,A
Q37: Which element has the highest atomic number?,8,0,2,Oxygen,Uranium,Gold,Helium,B
Q80: Which metal is the best conductor of electricity?,8,1,0,Copper,Iron,Aluminium,Silver,D
Q41: Which element has the highest atomic number?,2,2,1,Oxygen,Uranium,Gold,Helium,B
Q45: Which metal is the best conductor of electricity?,2,0,2,Copper,Iron,Aluminium,Silver,D
Q83: What is the chemical formula of water?,2,1,1,H2O,CO2,O2,NaCl,A
Q93: What is the pH of a neutral solution?,6,2,2,7,5,9,3,A
Q66: What is the pH of a neutral solution?,6,0,0,7,5,9,3,A
Q8: What is the chemical formula of water?,5,2,0,H2O,CO2,O2,NaCl,A
Q92: What is the chemical formula of water?,5,0,0,H2O,CO2,O2,NaCl,A
Q94: Which process is used to separate crude oil into its components?,5,1,1,Filtration,Fractional Distillation,Evaporation,Crystallization,B
Q54: Which element has the highest atomic number?,1,2,0,Oxygen,Uranium,Gold,Helium,B
Q30: Which acid is found in lemons?,1,0,1,Sulfuric Acid,Hydrochloric Acid,Citric Acid,Acetic Acid,C
Q9: What is the chemical formula of water?,1,1,2,H2O,CO2,O2,NaCl,A
Q44: Which of the following is an organic compound?,4,2,0,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q17: What is the chemical formula of water?,4,0,2,H2O,CO2,O2,NaCl,A
Q77: What is the pH of a neutral solution?,4,1,2,7,5,9,3,A
Q57: Which metal is the best conductor of electricity?,0,2,2,Copper,Iron,Aluminium,Silver,D
Q62: Which metal is the best conductor of electricity?,0,0,2,Copper,Iron,Aluminium,Silver,D
Q46: What is the pH of a neutral solution?,0,1,1,7,5,9,3,A
Q76: Which gas is released when an acid reacts with a metal?,3,2,2,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q19: What is the chemical formula of water?,3,0,2,H2O,CO2,O2,NaCl,A
Q47: Which element has the highest atomic number?,3,1,1,Oxygen,Uranium,Gold,Helium,B
Q35: Which element has the highest atomic number?,7,2,1,Oxygen,Uranium,Gold,Helium,B
Q22: What is the pH of a neutral solution?,7,0,0,7,5,9,3,A
Q36: Which element has the highest atomic number?,7,1,2,Oxygen,Uranium,Gold,Helium,B
Q91: Which of the following is an organic compound?,3,2,0,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q10: Which metal is the best conductor of electricity?,4,0,1,Copper,Iron,Aluminium,Silver,D
Q26: What is the pH of a neutral solution?,8,0,1,7,5,9,3,A
Q14: Which of these is a noble gas?,3,0,2,Oxygen,Nitrogen,Neon,Hydrogen,C
Q99: Which element has the highest atomic number?,4,1,2,Oxygen,Uranium,Gold,Helium,B
Q33: What is the pH of a neutral solution?,0,0,1,7,5,9,3,A
Q12: What is the chemical formula of water?,5,2,1,H2O,CO2,O2,NaCl,A
Q39: What is the pH of a neutral solution?,7,0,0,7,5,9,3,A
Q18: Which of the following is an organic compound?,6,0,2,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q58: Which of the following is an organic compound?,9,1,0,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q48: Which of these is a noble gas?,6,2,2,Oxygen,Nitrogen,Neon,Hydrogen,C
Q85: Which of the following is an organic compound?,9,1,2,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q31: Which gas is released when an acid reacts with a metal?,3,0,1,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q6: Which of the following is an organic compound?,5,1,2,Methane,Sodium Chloride,Iron Oxide,Calcium Carbonate,A
Q60: Which acid is found in lemons?,9,0,2,Sulfuric Acid,Hydrochloric Acid,Citric Acid,Acetic Acid,C
Q20: Which gas is released when an acid reacts with a metal?,8,2,0,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q64: Which gas is released when an acid reacts with a metal?,4,1,1,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,C
Q23: What is the chemical formula of water?,5,0,1,H2O,CO2,O2,NaCl,A
Q71: Which process is used to separate crude oil into its components?,5,0,1,Filtration,Fractional Distillation,Evaporation,Crystallization,B
Q40: Which of these is a noble gas?,8,0,2,Oxygen,Nitrogen,Neon,Hydrogen,C
Q43: Which element has the highest atomic number?,1,1,2,Oxygen,Uranium,Gold,Helium,B
