Question_Type_Preference,Most_Challenging_Topic,Confidence_in_Concepts,Error_Analysis,Memorization_vs_Application
Reaction-based,Organic Chemistry,Poorly,Lack of concept clarity,Both
Numerical,Organic Chemistry,Very Well,Lack of concept clarity,Logical Application
Theoretical,Organic Chemistry,Well,Time pressure,Logical Application
Theoretical,Organic Chemistry,Poorly,Lack of concept clarity,Both
Numerical,Inorganic Chemistry,Well,Lack of concept clarity,Memorization
Reaction-based,Organic Chemistry,Neutral,Confusion between similar reactions,Logical Application
Theoretical,Organic Chemistry,Very Well,Confusion between similar reactions,Both
Theoretical,Physical Chemistry,Poorly,Time pressure,Both
Theoretical,Inorganic Chemistry,Neutral,Incorrect calculations,Memorization
Reaction-based,Organic Chemistry,Neutral,Lack of concept clarity,Logical Application
Reaction-based,Inorganic Chemistry,Very Well,Lack of concept clarity,Both
Numerical,Inorganic Chemistry,Poorly,Incorrect calculations,Logical Application
Reaction-based,Physical Chemistry,Well,Lack of concept clarity,Logical Application
Theoretical,Inorganic Chemistry,Very Well,Incorrect calculations,Logical Application
Reaction-based,Physical Chemistry,Well,Lack of concept clarity,Both
Reaction-based,Physical Chemistry,Very Well,Lack of concept clarity,Both
Reaction-based,Organic Chemistry,Poorly,Time pressure,Memorization
Reaction-based,Organic Chemistry,Poorly,Time pressure,Both
Theoretical,Organic Chemistry,Well,Lack of concept clarity,Logical Application
Theoretical,Inorganic Chemistry,Very Well,Incorrect calculations,Memorization
Reaction-based,Inorganic Chemistry,Neutral,Time pressure,Both
Numerical,Physical Chemistry,Well,Time pressure,Logical Application
Numerical,Organic Chemistry,Very Well,Incorrect calculations,Both
Reaction-based,Organic Chemistry,Poorly,Incorrect calculations,Both
Numerical,Inorganic Chemistry,Neutral,Confusion between similar reactions,Memorization
Reaction-based,Organic Chemistry,Very Well,Incorrect calculations,Memorization
Numerical,Physical Chemistry,Neutral,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Neutral,Incorrect calculations,Memorization
Numerical,Physical Chemistry,Poorly,Time pressure,Memorization
Reaction-based,Organic Chemistry,Neutral,Incorrect calculations,Both
Numerical,Physical Chemistry,Very Well,Time pressure,Both
Reaction-based,Inorganic Chemistry,Neutral,Lack of concept clarity,Memorization
Reaction-based,Inorganic Chemistry,Well,Incorrect calculations,Memorization
Theoretical,Physical Chemistry,Well,Confusion between similar reactions,Memorization
Numerical,Physical Chemistry,Well,Incorrect calculations,Logical Application
Reaction-based,Inorganic Chemistry,Poorly,Lack of concept clarity,Memorization
Numerical,Organic Chemistry,Well,Incorrect calculations,Memorization
Theoretical,Physical Chemistry,Well,Confusion between similar reactions,Both
Reaction-based,Organic Chemistry,Poorly,Incorrect calculations,Logical Application
Numerical,Organic Chemistry,Very Well,Confusion between similar reactions,Memorization
Reaction-based,Inorganic Chemistry,Well,Confusion between similar reactions,Memorization
Numerical,Organic Chemistry,Poorly,Lack of concept clarity,Logical Application
Reaction-based,Physical Chemistry,Neutral,Lack of concept clarity,Logical Application
