Student ID,Question,Selected Answer,Correct Answer,Skill Type
101,What is 2 + 2?,4,4,Calculation
101,Which gas is essential for respiration?,Oxygen,Oxygen,Analytical
101,What is the SI unit of force?,Newton,Newton,Logical
102,Find the value of 5 × 6,30,30,Calculation
102,What is the chemical formula of water?,H2O,H2O,Analytical
102,Which mirror is used in car rearview?,Convex,Convex,Logical
103,What is the square root of 16?,4,4,Calculation
103,Which planet is known as the Red Planet?,Mars,Mars,Analytical
103,What is the value of π (pi)?,3.14,3.14,Logical
104,Who discovered gravity?,Newton,Newton,Analytical
104,What is the derivative of x²?,2x,2x,Logical
104,What is the capital of India?,Delhi,Delhi,Analytical
105,What is 10²?,100,100,Calculation
105,What is the chemical symbol of Gold?,Au,Au,Analytical
105,What is the acceleration due to gravity on Earth?,9.8,9.8,Logical
